Alert ID,Ticker,Description,Time
260668261,"BINANCE:HNTUSDTPERP, 5m",ticker:HNTUSDTPERP;interval:5;buy:1;sell:0;buy_strong:0;sell_strong:0;close:23.072;timenow:2021-08-22T06:05:01Z,2021-08-22T06:05:01.000Z
260667369,"BINANCE:SUSHIUSDTPERP, 5m",ticker:SUSHIUSDTPERP;interval:5;buy:1;sell:0;buy_strong:0;sell_strong:0;close:13.82;timenow:2021-08-22T06:05:01Z,2021-08-22T06:05:01.000Z
260667399,"BINANCE:VETUSDTPERP, 5m",ticker:VETUSDTPERP;interval:5;buy:1;sell:0;buy_strong:0;sell_strong:0;close:0.12985;timenow:2021-08-22T06:05:00Z,2021-08-22T06:05:00.000Z
260666848,"BINANCE:EOSUSDTPERP, 5m",ticker:EOSUSDTPERP;interval:5;buy:1;sell:0;buy_strong:0;sell_strong:0;close:5.428;timenow:2021-08-22T06:05:00Z,2021-08-22T06:05:00.000Z
260669055,"BINANCE:ZILUSDTPERP, 5m",ticker:ZILUSDTPERP;interval:5;buy:1;sell:0;buy_strong:0;sell_strong:0;close:0.1088;timenow:2021-08-22T05:45:02Z,2021-08-22T05:45:02.000Z
260666993,"BINANCE:RUNEUSDTPERP, 5m",ticker:RUNEUSDTPERP;interval:5;buy:0;sell:0;buy_strong:1;sell_strong:0;close:11.158;timenow:2021-08-22T05:40:00Z,2021-08-22T05:40:00.000Z
260669182,"BINANCE:ONTUSDTPERP, 5m",ticker:ONTUSDTPERP;interval:5;buy:0;sell:0;buy_strong:0;sell_strong:1;close:1.0683;timenow:2021-08-22T05:25:06Z,2021-08-22T05:25:06.000Z
260666875,"BINANCE:LINKUSDTPERP, 5m",ticker:LINKUSDTPERP;interval:5;buy:0;sell:0;buy_strong:0;sell_strong:1;close:27.955;timenow:2021-08-22T05:25:01Z,2021-08-22T05:25:01.000Z
260669109,"BINANCE:BLZUSDTPERP, 5m",ticker:BLZUSDTPERP;interval:5;buy:0;sell:0;buy_strong:0;sell_strong:1;close:0.25158;timenow:2021-08-22T05:25:00Z,2021-08-22T05:25:00.000Z
260666668,"BINANCE:SOLUSDTPERP, 5m",ticker:SOLUSDTPERP;interval:5;buy:1;sell:0;buy_strong:0;sell_strong:0;close:75.405;timenow:2021-08-22T05:20:00Z,2021-08-22T05:20:00.000Z
260668584,"BINANCE:ICXUSDTPERP, 5m",ticker:ICXUSDTPERP;interval:5;buy:0;sell:0;buy_strong:1;sell_strong:0;close:1.4064;timenow:2021-08-22T05:15:00Z,2021-08-22T05:15:00.000Z
260668081,"BINANCE:NEOUSDTPERP, 5m",ticker:NEOUSDTPERP;interval:5;buy:0;sell:0;buy_strong:1;sell_strong:0;close:56.051;timenow:2021-08-22T05:05:00Z,2021-08-22T05:05:00.000Z
260668454,"BINANCE:AUDIOUSDTPERP, 5m",ticker:AUDIOUSDTPERP;interval:5;buy:0;sell:0;buy_strong:0;sell_strong:1;close:2.914;timenow:2021-08-22T05:05:00Z,2021-08-22T05:05:01.000Z
260667730,"BINANCE:KSMUSDTPERP, 5m",ticker:KSMUSDTPERP;interval:5;buy:0;sell:0;buy_strong:1;sell_strong:0;close:337.86;timenow:2021-08-22T05:05:00Z,2021-08-22T05:05:00.000Z
260666736,"BINANCE:BNBUSDTPERP, 5m",ticker:BNBUSDTPERP;interval:5;buy:0;sell:0;buy_strong:1;sell_strong:0;close:452.83;timenow:2021-08-22T05:05:00Z,2021-08-22T05:05:00.000Z
260668491,"BINANCE:BTTUSDTPERP, 5m",ticker:BTTUSDTPERP;interval:5;buy:1;sell:0;buy_strong:0;sell_strong:0;close:0.004404;timenow:2021-08-22T05:00:02Z,2021-08-22T05:00:02.000Z
260668875,"BINANCE:ONEUSDTPERP, 5m",ticker:ONEUSDTPERP;interval:5;buy:0;sell:0;buy_strong:1;sell_strong:0;close:0.11225;timenow:2021-08-22T05:00:00Z,2021-08-22T05:00:00.000Z
